timestamp,cpu_util_percent,load_1m,avg_cpu_mhz,cpu_package_c,tcpu_c,nvme_c,fan_rpm,mem_available_mib,rapl_package_w
2026-07-16T17:46:38-07:00,1.34,0.01,798.5,43.0,38.0,35.9,,14751.0,
2026-07-16T17:46:43-07:00,1.49,0.01,800.0,43.0,38.0,35.9,,14750.7,
2026-07-16T17:46:48-07:00,1.44,0.01,799.4,43.0,39.0,35.9,,14750.5,
2026-07-16T17:46:53-07:00,3.19,0.08,800.0,43.0,37.0,35.9,,14749.4,
2026-07-16T17:46:58-07:00,1.44,0.08,800.0,43.0,40.0,35.9,,14748.9,
2026-07-16T17:47:03-07:00,7.67,0.07,1182.9,43.0,41.0,35.9,,14742.9,
2026-07-16T17:47:08-07:00,1.25,0.06,1168.9,43.0,40.0,35.9,,14742.6,
2026-07-16T17:47:13-07:00,1.40,0.06,800.0,44.0,37.0,35.9,,14742.3,
2026-07-16T17:47:18-07:00,1.49,0.05,798.2,44.0,38.0,35.9,,14742.6,
2026-07-16T17:47:23-07:00,1.34,0.05,800.0,44.0,41.0,35.9,,14738.4,
2026-07-16T17:47:28-07:00,1.39,0.04,1718.9,43.0,40.0,35.9,,14738.2,
2026-07-16T17:47:33-07:00,1.10,0.04,799.8,44.0,40.0,35.9,,14738.1,
2026-07-16T17:47:39-07:00,1.15,0.04,800.0,43.0,40.0,35.9,,14737.5,
2026-07-16T17:47:44-07:00,1.20,0.03,800.0,43.0,38.0,35.9,,14737.0,
2026-07-16T17:47:49-07:00,1.29,0.03,800.0,44.0,39.0,35.9,,14737.3,
2026-07-16T17:47:54-07:00,1.15,0.03,800.0,43.0,37.0,35.9,,14737.8,
2026-07-16T17:47:59-07:00,1.34,0.03,799.1,43.0,38.0,35.9,,14737.4,
2026-07-16T17:48:04-07:00,1.35,0.02,766.0,42.0,39.0,35.9,,14737.4,
2026-07-16T17:48:09-07:00,1.15,0.02,906.9,41.0,41.0,35.9,,14737.1,
2026-07-16T17:48:14-07:00,1.30,0.02,800.0,42.0,39.0,35.9,,14736.9,
2026-07-16T17:48:19-07:00,1.20,0.02,966.6,42.0,39.0,35.9,,14737.6,
2026-07-16T17:48:24-07:00,1.15,0.02,1371.3,43.0,41.0,35.9,,14738.0,
2026-07-16T17:48:29-07:00,1.40,0.01,800.0,43.0,40.0,35.9,,14738.1,
2026-07-16T17:48:34-07:00,1.10,0.01,1564.8,42.0,42.0,35.9,,14738.5,
2026-07-16T17:48:39-07:00,1.15,0.01,800.0,43.0,40.0,35.9,,14739.7,
2026-07-16T17:48:44-07:00,1.10,0.01,886.3,42.0,42.0,35.9,,14740.2,
2026-07-16T17:48:49-07:00,1.40,0.01,2800.1,43.0,42.0,35.9,,14740.5,
2026-07-16T17:48:54-07:00,3.47,0.01,800.0,43.0,38.0,35.9,,14740.0,
2026-07-16T17:48:59-07:00,1.44,0.01,800.0,42.0,38.0,35.9,,14740.5,
2026-07-16T17:49:04-07:00,1.44,0.01,800.0,42.0,37.0,35.9,,14741.5,
2026-07-16T17:49:09-07:00,1.24,0.01,800.0,43.0,37.0,35.9,,14741.4,
2026-07-16T17:49:14-07:00,1.29,0.00,800.0,42.0,38.0,35.9,,14742.0,
2026-07-16T17:49:19-07:00,1.39,0.00,800.0,43.0,38.0,35.9,,14741.9,
2026-07-16T17:49:24-07:00,1.39,0.00,1477.2,43.0,38.0,35.9,,14741.9,
2026-07-16T17:49:29-07:00,1.54,0.00,1352.6,43.0,41.0,35.9,,14741.4,
2026-07-16T17:49:34-07:00,2.35,0.00,800.0,43.0,38.0,35.9,,14740.5,
2026-07-16T17:49:39-07:00,1.24,0.00,800.0,43.0,37.0,35.9,,14740.1,
2026-07-16T17:49:44-07:00,1.29,0.00,800.0,43.0,40.0,35.9,,14739.3,
2026-07-16T17:49:49-07:00,1.20,0.00,800.0,43.0,39.0,35.9,,14738.6,
2026-07-16T17:49:55-07:00,1.25,0.08,809.4,43.0,38.0,35.9,,14738.5,
2026-07-16T17:50:00-07:00,1.44,0.07,800.0,41.0,40.0,35.9,,14738.5,
2026-07-16T17:50:05-07:00,1.20,0.07,797.0,41.0,37.0,35.9,,14738.6,
2026-07-16T17:50:10-07:00,1.29,0.06,799.7,43.0,38.0,35.9,,14737.9,
2026-07-16T17:50:15-07:00,1.19,0.06,800.0,42.0,38.0,35.9,,14738.0,
2026-07-16T17:50:20-07:00,1.24,0.05,1259.4,43.0,39.0,35.9,,14738.6,
2026-07-16T17:50:25-07:00,1.10,0.05,800.0,43.0,40.0,35.9,,14739.4,
2026-07-16T17:50:30-07:00,1.10,0.04,1470.9,42.0,40.0,35.9,,14739.7,
2026-07-16T17:50:35-07:00,1.40,0.04,1292.8,42.0,40.0,35.9,,14739.9,
2026-07-16T17:50:40-07:00,1.30,0.04,800.0,42.0,40.0,35.9,,14741.1,
2026-07-16T17:50:45-07:00,1.20,0.03,805.3,42.0,40.0,35.9,,14737.4,
2026-07-16T17:50:50-07:00,1.15,0.03,800.0,42.0,37.0,35.9,,14738.2,
2026-07-16T17:50:55-07:00,1.34,0.03,798.4,43.0,39.0,35.9,,14738.4,
2026-07-16T17:51:00-07:00,1.20,0.03,800.0,43.0,38.0,35.9,,14739.3,
2026-07-16T17:51:05-07:00,1.39,0.02,800.0,43.0,37.0,35.9,,14739.9,
2026-07-16T17:51:10-07:00,1.05,0.02,800.0,43.0,42.0,35.9,,14739.6,
2026-07-16T17:51:15-07:00,2.40,0.02,2291.7,42.0,41.0,35.9,,14740.3,
2026-07-16T17:51:20-07:00,1.20,0.02,800.0,43.0,38.0,35.9,,14740.3,
2026-07-16T17:51:25-07:00,2.84,0.02,800.0,43.0,37.0,35.9,,14741.2,
2026-07-16T17:51:30-07:00,1.29,0.01,800.0,42.0,37.0,35.9,,14741.4,
2026-07-16T17:51:35-07:00,1.24,0.01,800.0,43.0,37.0,35.9,,14741.4,
2026-07-16T17:51:40-07:00,2.39,0.01,799.3,43.0,37.0,35.9,,14740.6,
2026-07-16T17:51:45-07:00,1.39,0.01,799.5,42.0,37.0,35.9,,14741.0,
2026-07-16T17:51:50-07:00,1.89,0.01,1521.0,43.0,42.0,35.9,,14740.2,
2026-07-16T17:51:56-07:00,1.85,0.01,800.0,43.0,37.0,35.9,,14753.1,
2026-07-16T17:52:01-07:00,1.44,0.01,800.0,41.0,37.0,35.9,,14752.3,
2026-07-16T17:52:06-07:00,1.34,0.01,800.0,41.0,37.0,35.9,,14752.7,
2026-07-16T17:52:11-07:00,3.98,0.01,800.0,42.0,37.0,35.9,,14755.8,
2026-07-16T17:52:16-07:00,1.34,0.00,965.4,43.0,39.0,35.9,,14755.5,
2026-07-16T17:52:21-07:00,1.25,0.00,800.0,41.0,40.0,35.9,,14755.2,
2026-07-16T17:52:26-07:00,1.39,0.00,800.0,43.0,40.0,35.9,,14755.3,
2026-07-16T17:52:31-07:00,1.05,0.00,796.7,42.0,40.0,35.9,,14755.2,
2026-07-16T17:52:36-07:00,1.34,0.00,800.0,41.0,40.0,35.9,,14755.3,
2026-07-16T17:52:41-07:00,1.20,0.00,799.4,42.0,39.0,35.9,,14755.3,
2026-07-16T17:52:46-07:00,1.30,0.00,800.0,42.0,38.0,35.9,,14755.2,
2026-07-16T17:52:51-07:00,1.34,0.00,800.0,43.0,40.0,35.9,,14755.7,
2026-07-16T17:52:56-07:00,1.10,0.00,800.0,43.0,38.0,35.9,,14755.9,
2026-07-16T17:53:01-07:00,1.34,0.00,1209.9,42.0,39.0,35.9,,14756.3,
2026-07-16T17:53:06-07:00,1.00,0.00,800.0,42.0,40.0,35.9,,14756.4,
2026-07-16T17:53:11-07:00,1.30,0.00,1043.4,42.0,40.0,35.9,,14756.5,
2026-07-16T17:53:16-07:00,1.00,0.00,1323.9,43.0,38.0,35.9,,14756.6,
2026-07-16T17:53:21-07:00,1.15,0.00,800.0,42.0,37.0,35.9,,14756.6,
2026-07-16T17:53:26-07:00,1.24,0.00,800.0,42.0,38.0,35.9,,14756.1,
2026-07-16T17:53:31-07:00,2.44,0.00,800.0,41.0,38.0,35.9,,14758.7,
2026-07-16T17:53:36-07:00,1.34,0.00,800.0,42.0,37.0,35.9,,14759.2,
2026-07-16T17:53:41-07:00,1.24,0.00,800.0,43.0,40.0,35.9,,14759.2,
2026-07-16T17:53:46-07:00,1.29,0.00,2702.8,42.0,40.0,35.9,,14758.4,
2026-07-16T17:53:51-07:00,3.36,0.00,800.0,43.0,38.0,35.9,,14759.0,
2026-07-16T17:53:56-07:00,1.49,0.00,800.0,42.0,37.0,35.9,,14758.8,
2026-07-16T17:54:01-07:00,1.39,0.00,800.0,42.0,37.0,35.9,,14758.4,
2026-07-16T17:54:06-07:00,1.39,0.00,800.0,43.0,37.0,35.9,,14757.8,
2026-07-16T17:54:12-07:00,1.34,0.00,800.0,43.0,37.0,35.9,,14758.6,
2026-07-16T17:54:17-07:00,1.14,0.00,800.0,42.0,37.0,35.9,,14759.6,
2026-07-16T17:54:22-07:00,1.19,0.00,800.0,43.0,39.0,35.9,,14759.9,
2026-07-16T17:54:27-07:00,1.29,0.00,1465.1,42.0,37.0,35.9,,14764.4,
2026-07-16T17:54:32-07:00,1.19,0.00,800.0,41.0,38.0,35.9,,14764.4,
2026-07-16T17:54:37-07:00,2.74,0.00,798.8,42.0,36.0,35.9,,14762.2,
2026-07-16T17:54:42-07:00,1.24,0.00,800.0,41.0,39.0,35.9,,14762.2,
2026-07-16T17:54:47-07:00,1.15,0.00,800.0,42.0,39.0,35.9,,14761.8,
2026-07-16T17:54:52-07:00,1.20,0.00,1077.1,41.0,38.0,35.9,,14762.6,
2026-07-16T17:54:57-07:00,1.15,0.00,805.7,41.0,37.0,35.9,,14762.7,
2026-07-16T17:55:02-07:00,1.44,0.00,799.3,42.0,37.0,35.9,,14758.1,
2026-07-16T17:55:07-07:00,1.24,0.00,800.0,42.0,40.0,35.9,,14758.6,
2026-07-16T17:55:12-07:00,1.25,0.00,799.7,42.0,35.0,35.9,,14758.7,
2026-07-16T17:55:17-07:00,2.64,0.00,800.0,41.0,37.0,35.9,,14758.5,
2026-07-16T17:55:22-07:00,1.34,0.00,800.0,41.0,36.0,35.9,,14759.7,
2026-07-16T17:55:27-07:00,1.34,0.00,800.0,42.0,36.0,35.9,,14760.4,
2026-07-16T17:55:32-07:00,1.39,0.00,848.2,41.0,39.0,35.9,,14760.4,
2026-07-16T17:55:37-07:00,1.20,0.00,820.6,41.0,38.0,35.9,,14760.8,
2026-07-16T17:55:42-07:00,1.30,0.00,800.0,41.0,38.0,35.9,,14761.0,
2026-07-16T17:55:47-07:00,1.29,0.00,800.0,41.0,38.0,35.9,,14760.7,
2026-07-16T17:55:52-07:00,1.34,0.00,800.0,41.0,38.0,35.9,,14760.7,
2026-07-16T17:55:57-07:00,1.24,0.00,799.6,41.0,39.0,35.9,,14761.2,
2026-07-16T17:56:02-07:00,1.15,0.00,800.0,42.0,40.0,35.9,,14760.7,
2026-07-16T17:56:07-07:00,1.30,0.00,2244.1,41.0,41.0,35.9,,14760.9,
2026-07-16T17:56:12-07:00,1.25,0.00,846.4,41.0,38.0,35.9,,14760.4,
2026-07-16T17:56:18-07:00,1.20,0.00,800.0,41.0,36.0,35.9,,14761.3,
2026-07-16T17:56:23-07:00,1.69,0.00,800.0,43.0,38.0,35.9,,14761.1,
2026-07-16T17:56:28-07:00,2.19,0.00,800.0,42.0,37.0,35.9,,14760.8,
2026-07-16T17:56:33-07:00,1.29,0.00,800.0,41.0,37.0,35.9,,14760.4,
2026-07-16T17:56:38-07:00,1.39,0.00,1336.5,41.0,37.0,35.9,,14760.0,
2026-07-16T17:56:43-07:00,1.34,0.00,800.0,42.0,37.0,35.9,,14759.8,
2026-07-16T17:56:48-07:00,1.29,0.00,800.0,42.0,37.0,35.9,,14759.7,
2026-07-16T17:56:53-07:00,1.39,0.00,800.0,43.0,38.0,35.9,,14760.3,
2026-07-16T17:56:58-07:00,1.15,0.00,798.1,42.0,39.0,35.9,,14761.9,
2026-07-16T17:57:03-07:00,0.95,0.00,800.0,41.0,37.0,35.9,,14761.7,
2026-07-16T17:57:08-07:00,1.14,0.00,1070.0,41.0,39.0,35.9,,14762.4,
2026-07-16T17:57:13-07:00,1.25,0.00,798.6,43.0,38.0,35.9,,14761.5,
2026-07-16T17:57:18-07:00,1.20,0.00,800.0,41.0,38.0,35.9,,14760.7,
2026-07-16T17:57:23-07:00,2.44,0.00,800.0,41.0,39.0,35.9,,14759.8,
2026-07-16T17:57:28-07:00,1.25,0.00,800.0,41.0,39.0,35.9,,14759.5,
2026-07-16T17:57:33-07:00,1.15,0.00,800.0,41.0,36.0,35.9,,14759.2,
2026-07-16T17:57:38-07:00,1.29,0.00,800.0,41.0,39.0,35.9,,14758.9,
2026-07-16T17:57:43-07:00,1.39,0.00,800.0,41.0,38.0,35.9,,14759.4,
2026-07-16T17:57:48-07:00,1.25,0.00,800.0,41.0,39.0,35.9,,14759.9,
2026-07-16T17:57:53-07:00,1.20,0.00,799.6,40.0,37.0,35.9,,14760.2,
2026-07-16T17:57:58-07:00,1.54,0.00,800.0,42.0,39.0,35.9,,14761.4,
2026-07-16T17:58:03-07:00,1.25,0.00,800.0,41.0,39.0,35.9,,14761.4,
2026-07-16T17:58:08-07:00,1.29,0.00,799.9,41.0,37.0,35.9,,14760.9,
2026-07-16T17:58:14-07:00,1.44,0.00,800.0,41.0,37.0,35.9,,14760.3,
2026-07-16T17:58:19-07:00,2.78,0.00,775.9,41.0,37.0,35.9,,14759.1,
2026-07-16T17:58:24-07:00,1.39,0.00,800.0,42.0,39.0,35.9,,14758.3,
2026-07-16T17:58:29-07:00,0.95,0.00,800.0,41.0,42.0,35.9,,14761.4,
2026-07-16T17:58:34-07:00,1.35,0.00,2800.0,41.0,39.0,35.9,,14761.1,
2026-07-16T17:58:39-07:00,1.15,0.00,800.0,41.0,37.0,35.9,,14760.8,
2026-07-16T17:58:44-07:00,1.34,0.16,800.0,41.0,37.0,35.9,,14759.8,
2026-07-16T17:58:49-07:00,1.34,0.13,800.0,41.0,36.0,35.9,,14759.0,
2026-07-16T17:58:54-07:00,1.24,0.12,796.9,40.0,36.0,35.9,,14758.4,
2026-07-16T17:58:59-07:00,1.39,0.11,800.0,41.0,37.0,35.9,,14758.3,
2026-07-16T17:59:04-07:00,1.34,0.10,800.0,40.0,36.0,35.9,,14758.6,
2026-07-16T17:59:09-07:00,1.39,0.10,799.4,42.0,37.0,35.9,,14758.7,
2026-07-16T17:59:14-07:00,1.34,0.09,799.5,41.0,39.0,35.9,,14758.8,
2026-07-16T17:59:19-07:00,1.30,0.08,2698.9,41.0,39.0,35.9,,14759.7,
